year,team,url
2005,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=ca2b8e80
2005,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=3d5d5017
2005,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=e20242d3
2005,SK Wyverns,https://www.baseball-reference.com/register/team.cgi?id=400b07f6
2004,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=855d5bc5
2004,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=b5731c90
2004,Hyundai Unicorns,https://www.baseball-reference.com/register/team.cgi?id=5b13ff7b
2004,Kia Tigers,https://www.baseball-reference.com/register/team.cgi?id=5c327293
2004,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=3f050913
2004,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=0d5a7b48
2004,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=2d2518eb
2004,SK Wyverns,https://www.baseball-reference.com/register/team.cgi?id=cc9f2e49
2003,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=3d69ee5f
2003,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=7f7d8153
2003,Hyundai Unicorns,https://www.baseball-reference.com/register/team.cgi?id=98e8345b
2003,Kia Tigers,https://www.baseball-reference.com/register/team.cgi?id=e1e573de
2003,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=4c674ac2
2003,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=571ddf23
2003,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=dfcbf578
2003,SK Wyverns,https://www.baseball-reference.com/register/team.cgi?id=bf52787f
2002,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=38764cab
2002,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=ba057050
2002,Hyundai Unicorns,https://www.baseball-reference.com/register/team.cgi?id=5e3db77b
2002,Kia Tigers,https://www.baseball-reference.com/register/team.cgi?id=e9c48385
2002,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=e8035bd3
2002,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=c842c7cd
2002,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=96259685
2002,SK Wyverns,https://www.baseball-reference.com/register/team.cgi?id=524e5f34
2001,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=a2467f09
2001,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=449647a3
2001,Hyundai Unicorns,https://www.baseball-reference.com/register/team.cgi?id=c5f596da
2001,Kia Tigers,https://www.baseball-reference.com/register/team.cgi?id=39094341
2001,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=b5e973c8
2001,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=554ea28e
2001,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=91af8742
2001,SK Wyverns,https://www.baseball-reference.com/register/team.cgi?id=b2e45cd7
2000,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=ba58ac93
2000,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=9bedb128
2000,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=77ed1713
2000,Hyundai Unicorns,https://www.baseball-reference.com/register/team.cgi?id=4618a975
2000,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=f47e5681
2000,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=88cc9b65
2000,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=6d17cffd
2000,SK Wyverns,https://www.baseball-reference.com/register/team.cgi?id=3168de53
1999,Doosan Bears,https://www.baseball-reference.com/register/team.cgi?id=eb5506f8
1999,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=099a4a0a
1999,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=34aeb407
1999,Hyundai Unicorns,https://www.baseball-reference.com/register/team.cgi?id=e3bff891
1999,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=3ba58f27
1999,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=8a5630bf
1999,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=9a73701a
1999,Ssangbangwool Raiders,https://www.baseball-reference.com/register/team.cgi?id=743dcc33
1998,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=e55fd362
1998,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=1e5e074c
1998,Hyundai Unicorns,https://www.baseball-reference.com/register/team.cgi?id=853611bc
1998,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=a82422df
1998,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=9685ace8
1998,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=c1e4798f
1998,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=660f4f19
1998,Ssangbangwool Raiders,https://www.baseball-reference.com/register/team.cgi?id=780f3bce
1997,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=260e319a
1997,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=b98a8f70
1997,Hyundai Unicorns,https://www.baseball-reference.com/register/team.cgi?id=6fa937fe
1997,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=f510c99f
1997,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=24633629
1997,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=546ddb72
1997,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=3922b1a7
1997,Ssangbangwool Raiders,https://www.baseball-reference.com/register/team.cgi?id=ab70f51e
1996,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=a10479c0
1996,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=3d692afd
1996,Hyundai Unicorns,https://www.baseball-reference.com/register/team.cgi?id=310c220e
1996,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=bf3d68a6
1996,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=bdcdeb77
1996,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=5c2dd0c1
1996,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=58f390ba
1996,Ssangbangwool Raiders,https://www.baseball-reference.com/register/team.cgi?id=8b4507c6
1995,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=3bafd923
1995,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=c1802dd9
1995,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=b0d67999
1995,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=9e5cfd9d
1995,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=c9e17dbb
1995,Pacific Dolphins,https://www.baseball-reference.com/register/team.cgi?id=ad5b3c0f
1995,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=a22f5262
1995,Ssangbangwool Raiders,https://www.baseball-reference.com/register/team.cgi?id=328e11cf
1994,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=6b1bd8ff
1994,Hanwha Eagles,https://www.baseball-reference.com/register/team.cgi?id=6df37a79
1994,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=07fcb2c2
1994,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=a08fda79
1994,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=9beda034
1994,Pacific Dolphins,https://www.baseball-reference.com/register/team.cgi?id=3a3c602c
1994,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=2ce10c89
1994,Ssangbangwool Raiders,https://www.baseball-reference.com/register/team.cgi?id=1c148a49
1993,Binggre Eagles,https://www.baseball-reference.com/register/team.cgi?id=66ea3d45
1993,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=d04372dd
1993,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=0b2be5b6
1993,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=1a1b47b2
1993,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=09868a67
1993,Pacific Dolphins,https://www.baseball-reference.com/register/team.cgi?id=bb3f4b9f
1993,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=298411ea
1993,Ssangbangwool Raiders,https://www.baseball-reference.com/register/team.cgi?id=5dfc59a4
1992,Binggre Eagles,https://www.baseball-reference.com/register/team.cgi?id=3c36aeca
1992,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=61668a7c
1992,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=48a00c96
1992,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=7fb557ea
1992,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=b965b8b7
1992,Pacific Dolphins,https://www.baseball-reference.com/register/team.cgi?id=0ac5b693
1992,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=098a2cb3
1992,Ssangbangwool Raiders,https://www.baseball-reference.com/register/team.cgi?id=21ab8e84
1991,Binggre Eagles,https://www.baseball-reference.com/register/team.cgi?id=91c695eb
1991,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=4a182ca7
1991,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=b0abfabe
1991,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=b1fae6c1
1991,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=fdcf7200
1991,Pacific Dolphins,https://www.baseball-reference.com/register/team.cgi?id=9163ba83
1991,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=5d3d63d0
1991,Ssangbangwool Raiders,https://www.baseball-reference.com/register/team.cgi?id=8c09cbc0
1990,Binggre Eagles,https://www.baseball-reference.com/register/team.cgi?id=cab0a4e5
1990,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=f2f8fcd9
1990,LG Twins,https://www.baseball-reference.com/register/team.cgi?id=c79dbd3e
1990,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=5e88fc67
1990,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=e25eccbc
1990,Pacific Dolphins,https://www.baseball-reference.com/register/team.cgi?id=150c0a80
1990,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=cd3d773a
1989,Binggre Eagles,https://www.baseball-reference.com/register/team.cgi?id=243f85b0
1989,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=d9b91bd0
1989,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=b46a6a2c
1989,MBC Blue Dragons,https://www.baseball-reference.com/register/team.cgi?id=16ee4eb8
1989,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=ce431737
1989,Pacific Dolphins,https://www.baseball-reference.com/register/team.cgi?id=853e06a6
1989,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=042c27d7
1988,Binggre Eagles,https://www.baseball-reference.com/register/team.cgi?id=533ce78d
1988,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=e9af2ce3
1988,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=88acac24
1988,MBC Blue Dragons,https://www.baseball-reference.com/register/team.cgi?id=c999d44f
1988,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=4375e72b
1988,Pacific Dolphins,https://www.baseball-reference.com/register/team.cgi?id=9eef5186
1988,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=db4040d5
1987,Binggre Eagles,https://www.baseball-reference.com/register/team.cgi?id=108580c4
1987,Chungbo Pintos,https://www.baseball-reference.com/register/team.cgi?id=0601d8a3
1987,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=1d8964ac
1987,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=27f9fac4
1987,MBC Blue Dragons,https://www.baseball-reference.com/register/team.cgi?id=40793853
1987,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=a37f8021
1987,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=ee85dc3b
1986,Binggre Eagles,https://www.baseball-reference.com/register/team.cgi?id=c4f59634
1986,Chungbo Pintos,https://www.baseball-reference.com/register/team.cgi?id=a4e9d538
1986,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=017634a2
1986,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=c05717cb
1986,MBC Blue Dragons,https://www.baseball-reference.com/register/team.cgi?id=b356252f
1986,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=ab209750
1986,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=8708dba5
1985,Chungbo Pintos,https://www.baseball-reference.com/register/team.cgi?id=a1c3635b
1985,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=20d64126
1985,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=359853ac
1985,MBC Blue Dragons,https://www.baseball-reference.com/register/team.cgi?id=a8126138
1985,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=635a1594
1985,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=fe6bf32c
1984,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=aac965c1
1984,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=1c3ea69f
1984,MBC Blue Dragons,https://www.baseball-reference.com/register/team.cgi?id=011b2d9e
1984,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=29a9b53e
1984,Sammi Superstars,https://www.baseball-reference.com/register/team.cgi?id=1cc233ab
1984,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=f1e21ad5
1983,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=ba2b2195
1983,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=e982c6b9
1983,MBC Blue Dragons,https://www.baseball-reference.com/register/team.cgi?id=8b2a8fa1
1983,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=bc28ad3d
1983,Sammi Superstars,https://www.baseball-reference.com/register/team.cgi?id=bbd80e62
1983,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=db37ca4e
1982,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=90b995cc
1982,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=f81a67b2
1982,MBC Blue Dragons,https://www.baseball-reference.com/register/team.cgi?id=d3eaf1ec
1982,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=a8895d92
1982,Sammi Superstars,https://www.baseball-reference.com/register/team.cgi?id=4e691eff
1982,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=9d6e65ae
